PREST;ID;MONTO;VENC;TASA;PAGADA_EL;CANC;INT;ABONO;PAGO;RESTA
3;1.0;427.58;31-Ene-2012;1;4-May-2012;427.58;231.23;196.35;196.35;22926.95
3;2.0;427.58;29-Feb-2012;1;4-May-2012;427.58;229.27;198.31;394.66;22728.64
3;3.0;427.58;31-Mar-2012;1;16-May-2012;427.58;227.29;200.29;594.95;22528.35
3;4.0;427.58;30-Abr-2012;1;17-May-2012;427.58;225.28;202.3;797.25;22326.05
3;5.0;427.58;31-May-2012;1;4-Jul-2012;427.58;223.26;204.32;1001.57;22121.73
3;6.0;427.58;30-Jun-2012;1;27-Jul-2012;427.58;221.22;206.36;1207.93;21915.37
3;7.0;427.58;31-Jul-2012;1;19-Sep-2012;427.58;219.15;208.43;1416.36;21706.94
3;8.0;427.58;31-Ago-2012;1;19-Oct-2012;427.58;217.07;210.51;1626.87;21496.43
3;9.0;427.58;30-Sep-2012;1;26-Oct-2012;427.58;214.96;212.62;1839.49;21283.81
3;10.0;427.58;31-Oct-2012;1;6-Feb-2013;427.58;212.84;214.74;2054.23;21069.07
3;11.0;427.58;30-Nov-2012;1;15-Feb-2013;427.58;210.69;216.89;2271.12;20852.18
3;12.0;427.58;31-Dic-2012;1;2-Abr-2013;427.58;208.52;219.06;2490.18;20633.12
3;13.0;427.58;31-Ene-2013;1;9-May-2013;427.58;206.33;221.25;2711.43;20411.87
3;14.0;427.58;28-Feb-2013;1;2-Jul-2013;427.58;204.12;223.46;2934.89;20188.41
3;15.0;427.58;31-Mar-2013;1;8-Jul-2013;427.58;201.88;225.7;3160.59;19962.71
3;16.0;427.58;30-Abr-2013;1;9-Jul-2013;427.58;199.63;227.95;3388.54;19734.76
3;17.0;427.58;31-May-2013;1;10-Jul-2013;427.58;197.35;230.23;3618.77;19504.53
3;18.0;427.58;30-Jun-2013;1;15-Jul-2013;427.58;195.05;232.53;3851.3;19272
3;19.0;427.58;31-Jul-2013;1;12-Nov-2013;427.58;192.72;234.86;4086.16;19037.14
3;20.0;427.58;31-Ago-2013;1;5-Dic-2013;427.58;190.37;237.21;4323.37;18799.93
3;21.0;427.58;30-Sep-2013;1;5-Dic-2013;427.58;188;239.58;4562.95;18560.35
3;22.0;427.58;31-Oct-2013;1;22-Ene-2014;427.58;185.6;241.98;4804.93;18318.37
3;23.0;427.58;30-Nov-2013;1;23-Ene-2014;427.58;183.18;244.4;5049.33;18073.97
3;24.0;427.58;31-Dic-2013;1;27-Ene-2014;427.58;180.74;246.84;5296.17;17827.13
3;25.0;427.58;31-Ene-2014;1;24-Mar-2014;427.58;178.27;249.31;5545.48;17577.82
3;26.0;427.58;28-Feb-2014;1;13-May-2014;427.58;175.78;251.8;5797.28;17326.02
3;27.0;427.58;31-Mar-2014;1;19-May-2014;427.58;173.26;254.32;6051.6;17071.7
3;28.0;427.58;30-Abr-2014;1;27-May-2014;427.58;170.72;256.86;6308.46;16814.84
3;29.0;427.58;31-May-2014;1;12-Jun-2014;427.58;168.15;259.43;6567.89;16555.41
3;30.0;427.58;30-Jun-2014;1;3-Jul-2014;427.58;165.55;262.03;6829.92;16293.38
3;31.0;427.58;31-Jul-2014;1;25-Sep-2014;427.58;162.93;264.65;7094.57;16028.73
3;32.0;427.58;31-Ago-2014;1;23-Oct-2014;427.58;160.29;267.29;7361.86;15761.44
3;33.0;427.58;30-Sep-2014;1;31-Oct-2014;427.58;157.61;269.97;7631.83;15491.47
3;34.0;427.58;31-Oct-2014;1;18-Nov-2014;427.58;154.91;272.67;7904.5;15218.8
3;35.0;427.58;30-Nov-2014;1;27-Nov-2014;427.58;152.19;275.39;8179.89;14943.41
3;36.0;427.58;31-Dic-2014;1;19-Dic-2014;427.58;149.43;278.15;8458.04;14665.26
3;37.0;427.58;31-Ene-2015;1;9-Feb-2015;427.58;146.65;280.93;8738.97;14384.33
3;38.0;427.58;28-Feb-2015;1;9-Mar-2015;427.58;143.84;283.74;9022.71;14100.59
3;39.0;427.58;31-Mar-2015;1;20-Abr-2015;427.58;141.01;286.57;9309.28;13814.02
3;40.0;427.58;30-Abr-2015;1;21-May-2015;427.58;138.14;289.44;9598.72;13524.58
3;41.0;427.58;31-May-2015;1;10-Jun-2015;427.58;135.25;292.33;9891.05;13232.25
3;42.0;427.58;30-Jun-2015;1;14-Jul-2015;427.58;132.32;295.26;10186.31;12936.99
3;43.0;427.58;31-Jul-2015;1;14-Sep-2015;427.58;129.37;298.21;10484.52;12638.78
3;44.0;427.58;31-Ago-2015;1;29-Sep-2015;427.58;126.39;301.19;10785.71;12337.59
3;45.0;427.58;30-Sep-2015;1;29-Sep-2015;427.58;123.38;304.2;11089.91;12033.39
3;46.0;427.58;31-Oct-2015;1;9-Nov-2015;427.58;120.33;307.25;11397.16;11726.14
3;47.0;427.58;30-Nov-2015;1;3-Dic-2015;427.58;117.26;310.32;11707.48;11415.82
3;48.0;427.58;31-Dic-2015;1;15-Ene-2016;427.58;114.16;313.42;12020.9;11102.4
3;49.0;427.58;31-Ene-2016;1;28-Ene-2016;427.58;111.02;316.56;12337.46;10785.84
3;50.0;427.58;29-Feb-2016;1;7-Mar-2016;427.58;107.86;319.72;12657.18;10466.12
3;51.0;427.58;31-Mar-2016;1;2-May-2016;427.58;104.66;322.92;12980.1;10143.2
3;52.0;427.58;30-Abr-2016;1;3-May-2016;427.58;101.43;326.15;13306.25;9817.05
3;53.0;427.58;31-May-2016;1;10-Jun-2016;427.58;98.17;329.41;13635.66;9487.64
3;54.0;427.58;30-Jun-2016;1;14-Jul-2016;427.58;94.88;332.7;13968.36;9154.94
